epoch,train_loss,val_loss
1,0.004787,0.000122
2,0.000088,0.000066
3,0.000056,0.000049
4,0.000045,0.000044
5,0.000041,0.000055
6,0.000039,0.000039
7,0.000051,0.000051
8,0.000037,0.000038
9,0.000036,0.000038
10,0.000036,0.000038
11,0.000036,0.000037
12,0.000036,0.000038
13,0.000036,0.000037
14,0.000223,0.000046
15,0.000040,0.000040
16,0.000037,0.000039
17,0.000037,0.000038
18,0.000038,0.000040
19,0.000094,0.000041
20,0.000036,0.000038
